,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,flood,avgjune,sub
99,Konkan & Goa,2000,1.2,0.0,0.0,0.9,190.3,739.4,1200.4,789.5,111.9,91.8,1.6,6.2,3133.2,1.2,191.2,2841.2,99.6,15.30045,74.08551,0,246.46666666666667,549.0999999999999
100,Konkan & Goa,2001,5.6,0.0,0.0,2.8,59.6,540.1,873.4,611.3,207.9,91.6,3.1,0.0,2395.4,5.6,62.4,2232.7,94.7,15.30045,74.08551,0,180.03333333333333,480.5
101,Konkan & Goa,2002,0.0,0.0,0.1,2.8,9.4,942.0,452.8,834.5,217.1,75.3,3.0,0.3,2537.3,0.0,12.3,2446.4,78.6,15.30045,74.08551,0,314.0,932.6
102,Konkan & Goa,2003,0.5,0.6,0.8,1.2,11.2,865.3,1013.9,593.7,298.7,54.4,1.9,0.0,2842.2,1.1,13.2,2771.6,56.3,15.30045,74.08551,0,288.43333333333334,854.0999999999999
103,Konkan & Goa,2004,0.0,0.0,0.0,10.4,46.9,678.6,902.3,1011.5,293.3,32.9,10.2,0.0,2986.1,0.0,57.3,2885.7,43.1,15.30045,74.08551,0,226.20000000000002,631.7
104,Konkan & Goa,2005,1.3,0.1,1.9,4.0,9.8,730.2,1340.9,772.2,678.8,76.5,0.0,0.1,3615.8,1.4,15.7,3522.1,76.6,15.30045,74.08551,1,243.4,720.4000000000001
105,Konkan & Goa,2006,0.0,0.0,9.9,0.0,211.8,683.1,1066.2,886.4,399.9,202.4,22.5,0.0,3482.2,0.0,221.7,3035.6,224.9,15.30045,74.08551,1,227.70000000000002,471.3
106,Konkan & Goa,2007,0.0,0.0,0.1,3.3,33.4,939.3,841.3,980.2,609.0,45.6,16.0,0.1,3468.3,0.0,36.8,3369.8,61.7,15.30045,74.08551,1,313.09999999999997,905.9
107,Konkan & Goa,2008,0.0,0.1,31.5,0.3,11.1,798.5,766.6,833.1,551.2,57.3,0.9,2.4,3053.0,0.1,42.9,2949.4,60.6,15.30045,74.08551,0,266.1666666666667,787.4
108,Konkan & Goa,2009,0.0,0.0,0.3,0.1,5.6,330.6,1271.2,292.9,387.5,307.4,121.0,0.0,2716.6,0.0,6.0,2282.2,428.4,15.30045,74.08551,0,110.2,325.0
109,Konkan & Goa,2010,2.7,0.0,0.0,1.5,8.2,680.8,1405.3,850.0,531.3,190.2,106.7,1.4,3778.1,2.7,9.7,3467.4,298.3,15.30045,74.08551,1,226.9333333333333,672.5999999999999
110,Konkan & Goa,2011,0.0,0.0,0.0,3.4,1.1,857.0,1384.1,987.9,468.3,120.3,3.1,0.0,3825.2,0.0,4.5,3697.3,123.4,15.30045,74.08551,1,285.6666666666667,855.9
111,Konkan & Goa,2012,0.0,0.0,0.0,0.6,1.1,633.0,928.5,762.5,515.3,175.1,2.3,0.0,3018.4,0.0,1.7,2839.3,177.4,15.30045,74.08551,0,211.0,631.9
112,Konkan & Goa,2013,1.8,5.4,0.1,0.1,18.5,1028.3,1478.5,497.6,340.7,149.3,2.1,1.5,3523.9,7.2,18.7,3345.1,152.9,15.30045,74.08551,1,342.76666666666665,1009.8
113,Konkan & Goa,2014,1.3,5.3,1.8,0.7,21.3,238.2,1293.2,658.0,419.5,98.7,8.0,11.7,2757.7,6.6,23.8,2608.9,118.4,15.30045,74.08551,0,79.39999999999999,216.89999999999998
114,Konkan & Goa,2015,2.7,0.0,36.8,3.6,11.3,764.0,526.5,377.3,240.9,91.4,27.3,0.0,2081.8,2.7,51.7,1908.7,118.7,15.30045,74.08551,0,254.66666666666666,752.7
115,Konkan & Goa,2016,0.0,0.1,2.0,0.3,2.1,806.5,1327.3,817.0,600.2,106.3,2.0,0.1,3663.9,0.1,4.4,3551.0,108.4,15.30045,74.08551,1,268.8333333333333,804.4
116,Konkan & Goa,2017,0.0,0.0,0.0,0.0,47.0,840.4,1095.3,731.2,546.9,156.9,0.7,25.0,3443.4,0.0,47.0,3213.8,182.6,15.30045,74.08551,1,280.1333333333333,793.4
117,Madhya Maharashtra,1901,18.8,0.6,7.7,36.6,30.4,107.7,215.9,194.1,83.7,68.7,4.4,0.5,769.1,19.4,74.7,601.4,73.6,19.14486043,74.77204737,0,35.9,77.30000000000001
118,Madhya Maharashtra,1902,7.8,0.0,0.1,5.0,9.8,102.6,210.9,114.5,169.5,60.4,40.5,62.9,784.0,7.8,14.9,597.5,163.8,19.14486043,74.77204737,0,34.199999999999996,92.8
119,Madhya Maharashtra,1903,7.6,0.0,0.0,3.2,77.2,86.3,281.8,155.5,142.3,74.2,7.6,2.2,837.9,7.6,80.4,665.9,84.0,19.14486043,74.77204737,0,28.766666666666666,9.099999999999994
120,Madhya Maharashtra,1904,0.4,4.7,1.7,3.0,18.7,114.6,126.5,59.5,183.0,91.1,0.0,0.4,603.6,5.1,23.4,483.6,91.5,19.14486043,74.77204737,0,38.199999999999996,95.89999999999999
121,Madhya Maharashtra,1905,0.0,1.2,0.0,2.3,23.6,65.0,252.8,79.0,52.6,52.9,8.3,0.0,537.7,1.2,25.9,449.4,61.2,19.14486043,74.77204737,0,21.666666666666668,41.4
122,Madhya Maharashtra,1906,10.5,0.8,0.0,0.1,9.3,184.8,199.3,205.0,88.8,19.1,15.5,11.1,744.3,11.3,9.4,677.9,45.7,19.14486043,74.77204737,0,61.6,175.5
